Name,onine_since,Image,categories,Category,Sub-category,Designer,Condition,Material,Color,Size,Location,Reference,Price,price_with_discount,Link
Linen blouse Celine White size 36 FR in Linen - 42794216,2024-03-30,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-linen-celine-top-42794216-1_2.jpg",Women,Clothing,Tops,Celine,Good condition,Linen,White,36 FR,"United States, from the seller Anne",42794216,$660,,https://www.vestiairecollective.com/women-clothing/tops/celine/white-linen-celine-top-42794216.shtml
Jacket The North Face Black size 8 years - until 50 inches UK in Polyester - 42073954,2024-03-07,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-polyester-the-north-face-jacket-coat-42073954-1_2.jpg",Kids,Boys,Jackets & Coats,The North Face,Very good condition,Polyester,Black,8 years - until 50 inches UK,"United States, from the seller eleonora",42073954,$93.50,,https://www.vestiairecollective.com/kids-boys/jackets-coats/the-north-face/black-polyester-the-north-face-jacket-coat-42073954.shtml
Lv runner active patent leather low trainers Louis Vuitton Green size 8 UK in Patent leather - 42689579,2024-03-27,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/green-patent-leather-lv-runner-active-louis-vuitton-trainers-42689579-1_3.jpg",Men,Shoes,Trainers,Louis Vuitton,LV Runner Active,Very good condition,Patent leather,Green,8 UK,"United States, from the seller Ningen",$385,,https://www.vestiairecollective.com/men-shoes/trainers/louis-vuitton/green-patent-leather-lv-runner-active-louis-vuitton-trainers-42689579.shtml
Clasp leather handbag Celine Black in Leather - 42589230,2024-03-25,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-clasp-celine-handbag-42589230-1_3.jpg",Women,Bags,Handbags,Celine,Clasp,Never worn,Leather,Black,Vintage,"United States, from the seller yingchao","$1,586.20",,https://www.vestiairecollective.com/women-bags/handbags/celine/black-leather-clasp-celine-handbag-42589230.shtml
